TRANS_DATE,DATE,HOUR,SHIP_TO,VOLUME,TRANSACTION_AMT,TRANSACTION_COUNT
3/10/2025,20250310,2,899387,87.226,240.32,10
3/10/2025,20250310,3,899387,144.547,395.76,14
3/10/2025,20250310,4,899387,131.615,376.33,13
3/10/2025,20250310,5,899387,220.449,578.3,22
3/10/2025,20250310,6,899387,420.054,1136.19,40
3/10/2025,20250310,7,899387,862.846,2373.86,58
3/10/2025,20250310,8,899387,439.931,1173.6,38
3/10/2025,20250310,9,899387,557.63,1465.08,49
3/10/2025,20250310,10,899387,486.474,1314.45,48
3/10/2025,20250310,11,899387,741.73,2009.81,77
3/10/2025,20250310,12,899387,771.377,2104.98,68
3/10/2025,20250310,13,899387,642.222,1753.63,63
3/10/2025,20250310,14,899387,785.95,2101.55,68
3/10/2025,20250310,15,899387,673.74,1798.88,62
3/10/2025,20250310,16,899387,738.019,2006.72,72
3/10/2025,20250310,17,899387,770.902,2021.81,68
3/10/2025,20250310,18,899387,766.542,2030.26,69
3/10/2025,20250310,19,899387,633.888,1686.37,67
3/10/2025,20250310,20,899387,360.098,1029.34,36
3/10/2025,20250310,21,899387,333.902,902.11,32
3/10/2025,20250310,22,899387,236.083,645.77,27
3/10/2025,20250310,23,899387,214.6,578.99,22
3/11/2025,20250311,0,899387,77.076,202.77,8
3/11/2025,20250311,1,899387,74.776,196.33,9
3/11/2025,20250311,2,899387,55.624,158.77,8
3/11/2025,20250311,3,899387,30.19,77.26,4
3/11/2025,20250311,4,899387,156.2,419.95,18
3/11/2025,20250311,5,899387,197.32,532.39,16
3/11/2025,20250311,6,899387,395.545,990.23,30
3/11/2025,20250311,7,899387,658.767,1861.78,44
3/11/2025,20250311,8,899387,522.228,1371.17,45
3/11/2025,20250311,9,899387,395.209,1090.13,34
3/11/2025,20250311,10,899387,722.797,1948.57,67
3/11/2025,20250311,11,899387,691.226,1886.94,66
3/11/2025,20250311,12,899387,848.456,2286.69,72
3/11/2025,20250311,13,899387,879.819,2346.09,77
3/11/2025,20250311,14,899387,779.818,2121.86,72
3/11/2025,20250311,15,899387,613.494,1691.09,58
3/11/2025,20250311,16,899387,926.547,2487.57,77
3/11/2025,20250311,17,899387,1005.136,2666.6,95
3/11/2025,20250311,18,899387,657.998,1724.57,63
3/11/2025,20250311,19,899387,698.533,1847.77,56
3/11/2025,20250311,20,899387,531.178,1414.42,49
3/11/2025,20250311,21,899387,387.447,1032.92,34
3/11/2025,20250311,22,899387,421.693,1118.53,42
3/11/2025,20250311,23,899387,152.204,405.9,22
3/12/2025,20250312,0,899387,104.065,283.7,14
3/12/2025,20250312,1,899387,59.347,160.01,8
3/12/2025,20250312,2,899387,57.292,148.63,6
3/12/2025,20250312,3,899387,136.423,361.9,14
3/12/2025,20250312,4,899387,196.295,559.2,15
3/12/2025,20250312,5,899387,213.855,566.86,23
3/12/2025,20250312,6,899387,494.388,1322.36,45
3/12/2025,20250312,7,899387,725.893,2028.81,47
3/12/2025,20250312,8,899387,396.056,1029.76,32
3/12/2025,20250312,9,899387,536.731,1448.8,48
3/12/2025,20250312,10,899387,457.271,1183.71,41
3/12/2025,20250312,11,899387,886.78,2334.19,74
3/12/2025,20250312,12,899387,775.818,2019.73,70
3/12/2025,20250312,13,899387,780.348,2043.47,71
3/12/2025,20250312,14,899387,922.395,2463.18,80
3/12/2025,20250312,15,899387,949.261,2501.55,84
3/12/2025,20250312,16,899387,909.141,2404.42,76
3/12/2025,20250312,17,899387,997.976,2660.65,94
3/12/2025,20250312,18,899387,753.89,1956.63,70
3/12/2025,20250312,19,899387,520.159,1341.18,52
3/12/2025,20250312,20,899387,612.526,1704.58,58
3/12/2025,20250312,21,899387,381.04,1015.34,38
3/12/2025,20250312,22,899387,372.825,957.77,37
3/12/2025,20250312,23,899387,251.891,629.31,28
3/13/2025,20250313,0,899387,131.007,339.72,14
3/13/2025,20250313,1,899387,99.113,256.67,11
3/13/2025,20250313,2,899387,131.16,337.13,12
3/13/2025,20250313,3,899387,82.848,211.25,11
3/13/2025,20250313,4,899387,95.864,240.8,11
3/13/2025,20250313,5,899387,216.019,539.01,22
3/13/2025,20250313,6,899387,594.523,1529.53,51
3/13/2025,20250313,7,899387,752.059,2061.54,58
3/13/2025,20250313,8,899387,427.957,1133.2,37
3/13/2025,20250313,9,899387,570.087,1544.31,48
3/13/2025,20250313,10,899387,752.016,2003.58,62
3/13/2025,20250313,11,899387,792.268,2093.62,67
